slot,source,medium,creative,destination,asset,status,published_url,scheduled_at
preview,founder-linkedin,social,scenario-film,https://ai.hyperdrift.io/?utm_source=founder-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=scenario-film,Scenario capture + founder motivation,Needs actual capture and founder words,,
reveal,company-linkedin,social,mesh-aperture,https://ai.hyperdrift.io/?utm_source=company-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=mesh-aperture,brand-share.png,Needs founder final text and time,,
proof-authority,company-linkedin,social,helm-sandbox,https://ai.hyperdrift.io/articles/delegation-with-boundaries?utm_source=company-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=helm-sandbox,delegation-with-boundaries.png + Helm recording,Article ready; recording review and words pending,,
proof-shared-view,founder-linkedin,social,radar-shortlist,https://ai.hyperdrift.io/articles/connect-agents-to-existing-work?utm_source=founder-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=radar-shortlist,connect-agents-to-existing-work.png + Radar recording,Article ready; recording review and words pending,,
voice,company-linkedin,social,first-officer-prototype,https://ai.hyperdrift.io/articles/conversation-with-a-shared-view?utm_source=company-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=first-officer-prototype,conversation-with-a-shared-view.png,Voice clip requires verified capture; article-only option available,,
partnership,company-linkedin,social,traction-partnership,https://ai.hyperdrift.io/partnership?utm_source=company-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=traction-partnership,brand-share.png,Needs founder final offer words,,
expertise,company-linkedin,social,expertise,https://ai.hyperdrift.io/articles/expertise-agents-can-use?utm_source=company-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=expertise,expertise-agents-can-use.png,Article ready; founder words pending,,
bridge,bluesky,social,bridge,https://ai.hyperdrift.io/articles/the-bridge?utm_source=bluesky&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=bridge,the-bridge.png,Account and final words unverified,,
priorities,mastodon,social,standup,https://ai.hyperdrift.io/articles/evidence-that-starts-work?utm_source=mastodon&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=standup,evidence-that-starts-work.png,Account and final words unverified,,
contact,company-linkedin,social,enquiry,https://ai.hyperdrift.io/?utm_source=company-linkedin&utm_medium=social&utm_campaign=one_opportunity_2026&utm_content=enquiry#contact,Existing enquiry flow,Direct-contact link for an explicit invitation,,
